46 53221
18 27 -4.034900834915002
18 12 -4.250609407741694
18 20 -3.460469961194439
18 28 -3.935528361101799
18 7 -4.112459069260877
18 10 -5.104099238376819
18 18 -4.410952057816874
18 15 -3.427409098933551
18 25 -5.061539623958023
18 13 -5.104099238376819
18 2 -4.232260269073498
18 16 -6.447833985077914
18 29 -4.455403820387708
18 8 -6.293683305250656
18 34 -6.853299093186078
18 6 -5.754686804517968
18 3 -8.239593454305968
18 26 -8.239593454305968
19 20 -1.660493083234384
19 13 -4.497376156179563
19 1 -2.894207856759058
19 10 -4.299550412849643
19 11 -1.927630626454533
19 28 -3.328383070749654
19 21 -5.129898714923073
19 22 -3.103299654617617
19 0 -1.989302447110028
19 12 -3.544271451182692
19 18 -4.561914677317134
19 16 -3.532295260135976
19 5 -2.710838630932660
19 9 -3.299672964867222
19 8 -4.827617843050140
19 27 -3.920060791144739
19 19 -3.253581857666955
19 15 -2.684997399748772
19 29 -4.325525899252904
19 2 -5.565216786180919
19 3 -5.129898714923073
19 4 -4.249539992274982
19 6 -6.353674146545189
19 34 -5.398162701517752
19 14 -5.190523336739508
19 25 -5.883670517299453
19 23 -6.576817697859399
19 7 -6.864499770311180
20 21 -4.468913996037384
20 20 -1.960476848839189
20 0 -1.030329082303608
20 19 -3.621616135650180
20 18 -3.279329929163547
20 9 -2.454010975495119
20 1 -2.410525863555380
20 5 -2.092901434488521
20 15 -3.293928728584700
20 3 -4.651235552831338
20 28 -3.812134459648313
20 10 -5.071089398391602
20 14 -5.373370270264536
20 25 -4.255339895739325
20 6 -5.903998521326706
20 22 -4.422393980402490
20 29 -5.373370270264536
20 12 -5.641634256859215
20 13 -8.206583614320751
20 27 -6.127142072640916
20 8 -5.903998521326706
20 33 -8.206583614320751
20 11 -7.513436433760806
20 2 -5.721676964532752
20 42 -8.206583614320751
20 34 -7.107971325652642
20 26 -8.206583614320751
21 22 -4.767855768265187
21 11 -3.340739412625041
21 20 -2.152895990228989
21 19 -1.692080787037660
21 18 -2.354922618102276
21 16 -2.821945619209874
21 8 -6.559615237493242
21 0 -2.255550144289072
21 12 -2.516563969658692
21 4 -3.263778371488913
21 14 -1.747430882120825
21 34 -3.851565036391032
21 5 -4.950177325059141
21 3 -4.950177325059141
21 13 -4.074708587705242
21 10 -5.866468056933297
21 7 -3.669243479597077
21 26 -5.866468056933297
21 2 -4.950177325059141
21 6 -5.173320876373351
21 23 -6.559615237493242
21 1 -5.461002948825132
22 23 -6.908754779315220
22 27 -2.797880915141910
22 5 -1.590634785471004
22 1 -1.266847708377107
22 0 -2.080441042012919
22 19 -4.343805421853684
22 12 -3.576550269140017
22 28 -2.848311768768801
22 9 -1.749699480100692
22 21 -4.423848129527221
22 13 -3.913022505761230
22 7 -5.810142490647111
22 18 -6.215607598755275
22 2 -6.215607598755275
22 34 -5.810142490647111
22 20 -5.810142490647111
22 14 -6.215607598755275
22 29 -6.908754779315220
22 4 -6.215607598755275
22 10 -6.908754779315220
22 38 -6.908754779315220
22 8 -6.908754779315220
22 15 -6.215607598755275
23 24 -2.944438979166441
23 8 -2.944438979166441
23 1 -0.998528830111127
23 9 -2.251291798606495
23 19 -2.944438979166441
23 0 -2.944438979166441
23 5 -1.152679509938386
24 25 -3.332204510175204
24 1 -2.233592221507094
24 20 -1.540445040947149
24 0 -1.252762968495368
24 21 -3.332204510175204
24 16 -1.540445040947149
24 34 -3.332204510175204
24 9 -3.332204510175204
24 5 -3.332204510175204
25 26 -5.613128106388070
25 8 -3.533686564708234
25 3 -1.535590662482351
25 4 -3.215232833589700
25 18 -1.899556039683762
25 7 -2.522085653029754
25 0 -2.029609167931960
25 12 -3.533686564708234
25 16 -4.514515817719960
25 13 -3.128221456600070
25 1 -2.779914762331854
25 5 -4.514515817719960
25 20 -3.128221456600070
25 14 -4.226833745268180
25 11 -3.533686564708234
25 19 -2.394252281519869
25 27 -5.613128106388070
25 2 -5.613128106388070
25 15 -5.613128106388070
25 34 -5.613128106388070
26 27 -2.772588722239781
26 12 -2.772588722239781
26 9 -2.772588722239781
26 0 -0.980829253011726
26 1 -1.386294361119891
26 5 -2.772588722239781
26 15 -2.772588722239781
26 2 -2.772588722239781
27 28 -6.570882962339584
27 0 -0.939671180518219
27 18 -1.834684513945089
27 11 -3.352007137471384
27 12 -2.764220472569265
27 14 -1.695685639138433
27 4 -3.737669618283368
27 20 -3.526360524616162
27 19 -3.352007137471384
27 7 -2.679062664228958
27 1 -6.570882962339584
27 22 -5.472270673671475
27 8 -5.877735781779639
27 16 -6.570882962339584
28 29 -6.873163834212518
28 14 -1.267361767916521
28 18 -1.143064051238944
28 7 -2.466444586948265
28 20 -2.847812143477369
28 4 -3.982792076316353
28 19 -3.023016232502460
28 22 -3.317815772723104
28 3 -4.570578741218473
28 12 -2.624668592163159
28 13 -3.505868004226044
28 11 -3.577326968208189
28 16 -4.927253685157205
28 6 -5.774551545544409
28 2 -6.873163834212518
29 0 -4.189654742026425
29 20 -2.697999865248708
29 18 -0.653538042464899
29 6 -5.288267030694535
29 4 -2.649209701079277
29 19 -3.128782781341163
29 13 -2.775961406718420
29 22 -2.890371757896165
29 14 -3.128782781341163
29 11 -3.251385103433496
29 12 -3.747821989747386
29 7 -4.440969170307332
29 10 -4.084294226368599
29 16 -3.988984046564275
29 3 -6.386879319362645
29 2 -6.386879319362645
29 17 -5.693732138802700
30 0 -0.025752496102415
30 40 -4.770684624465665
30 31 -4.770684624465665
30 38 -4.770684624465665
31 32 -2.833213344056216
31 39 -2.833213344056216
31 36 -1.446918982936325
31 41 -2.833213344056216
31 0 -0.887303195000903
31 34 -2.833213344056216
31 35 -2.833213344056216
31 31 -2.833213344056216
32 0 -1.203972804325936
32 41 -2.302585092994045
32 34 -1.203972804325936
32 33 -2.302585092994045
32 40 -2.302585092994045
32 36 -2.302585092994045
33 0 -0.838329190404443
33 37 -2.001480000210124
33 34 -2.224623551524334
33 30 -3.610917912644224
33 36 -2.001480000210124
33 40 -2.917770732084279
33 38 -3.610917912644224
33 33 -3.610917912644224
33 41 -2.917770732084279
34 6 -2.581898915775310
34 36 -3.169685580677429
34 19 -2.699681951431693
34 27 -2.833213344056216
34 11 -2.140066163496271
34 1 -3.169685580677429
34 13 -2.833213344056216
34 20 -2.987364023883474
34 33 -2.987364023883474
34 18 -4.085976312551584
34 16 -4.085976312551584
34 14 -4.779123493111530
34 2 -2.987364023883474
34 12 -2.581898915775310
34 22 -2.987364023883474
34 31 -4.779123493111530
34 7 -3.392829131991639
34 35 -3.392829131991639
34 4 -4.085976312551584
34 39 -4.779123493111530
34 15 -4.085976312551584
34 17 -4.085976312551584
34 5 -4.085976312551584
34 3 -4.085976312551584
34 9 -3.680511204443420
34 0 -4.779123493111530
34 8 -4.085976312551584
35 34 -1.550597412411167
35 36 -1.887069649032380
35 0 -1.704748092238425
35 41 -2.110213200346589
35 40 -2.110213200346589
35 32 -3.496507561466480
35 35 -2.803360380906535
35 31 -3.496507561466480
35 30 -3.496507561466480
35 38 -3.496507561466480
35 33 -3.496507561466480
36 0 -0.331357135954442
36 36 -1.466337068793427
36 35 -3.663561646129646
36 34 -3.663561646129646
