12673 194251
1108 sänkt 4
1109 lön 27
1110 fungerat 3
1111 avgörande 8
1112 finalmatchen 8
1113 exakt 14
1114 reglerna 33
1115 böckerna 1
1116 värda 5
1117 miljontals 9
1118 natten 51
1119 kistorna 4
1120 svenskar 137
1121 katastrofen 34
1122 asien 50
1123 arlanda 4
1124 fuskades 2
1125 seger 41
1126 inför 14
1127 sommar 33
1128 lagledaren 7
1129 marika 12
1130 domanski 10
1131 lyfors 10
1132 aftonbladet 25
1133 vattnet 43
1134 forsat 1
1135 husens 1
1136 möttes 15
1137 grekland 34
1138 träningsmatch 9
1139 förslaget 48
1140 försvara 15
1141 varandra 49
1142 pinochet 4
1143 brott 86
1144 adressen 2
1145 sidorsidor 1
1146 brutit 18
1147 landslagets 7
1148 regler 57
1149 skadat 8
1150 förbundets 4
1151 em 50
1152 veta 38
1153 fridolin 2
1154 batzler 1
1155 sköt 52
1156 gummikulor 1
1157 tårgasgranater 1
1158 demonstranterna 18
1159 stora 200
1160 ishockeyserien 1
1161 nordamerika 3
1162 ställs 1
1163 föreningen 7
1164 stöder 11
1165 terroristgrupper 3
1166 innan 80
1167 valdagen 6
1168 hel 5
1169 zimbabwe 7
1170 patienter 3
1171 väntar 15
1172 kö 4
1173 månader 58
1174 liberia 12
1175 förbjuder 4
1176 föräldrar 22
1177 slå 24
1178 stockholms 18
1179 tingsrätt 13
1180 bestämma 67
1181 rätt 65
1182 bandyjournalister 1
1183 röstat 13
1184 bandyspelare 2
1185 patrik 17
1186 kristiansson 9
1187 silvermedalj 15
1188 europamästerskapen 22
1189 inomhus 9
1190 tröjor 3
1191 meter 76
1192 häck 9
1193 mikael 24
1194 jakobsson 1
1195 utslagen 3
1196 kvartsfinalen 22
1197 hoppats 10
1198 ishockeystjärnan 1
1199 peter 48
1200 foppa 12
1201 forsberg 25
1202 grep 30
1203 vänsterdemonstrant 1
1204 högerdemonstranter 1
1205 dör 18
1206 trafiken 17
1207 varje 76
1208 the 11
1209 hives 3
1210 olika 99
1211 priser 23
1212 förlängning 9
1213 oavgjort 29
1214 polisens 9
1215 bombexperter 3
1216 tog 166
1217 hand 29
1218 folket 114
1219 protestera 13
1220 valfusket 2
1221 stort 70
1222 hör 5
1223 explosioner 2
1224 muller 1
1225 kanoner 1
1226 vilken 33
1227 sporthelg 1
1228 elfriede 5
1229 jelinek 4
1230 egen 43
1231 sida 5
1232 internet 27
1233 ordnade 6
1234 trea 30
1235 världscuploppet 1
1236 salt 6
1237 högt 22
1238 blodtryck 5
1239 tjetjenerna 4
1240 anföll 48
1241 polisstationer 5
1242 byggnader 6
1243 ingusjien 4
1244 måndags 57
1245 hjälpbilarna 2
1246 mat 63
1247 mediciner 27
1248 östeuropa 3
1249 alkoholen 1
1250 billig 9
1251 jämfört 14
1252 experterna 39
1253 förstår 11
1254 fungerar 25
1255 utbildning 7
1256 amerikanerna 33
1257 topppoäng 1
1258 domarna 6
1259 gerillan 4
1260 ltte 2
1261 regeringens 66
1262 krigat 12
1263 torsk 5
1264 trott 14
1265 östersjön 12
1266 euländer 19
1267 onsdagens 4
1268 timrå 16
1269 kandidaten 2
1270 viktor 21
1271 statsminister 51
1272 hedersdoktor 4
1273 vid 129
1274 universitetet 2
1275 örebro 13
1276 nöjd 25
1277 tbc 5
1278 förstör 10
1279 lungorna 1
1280 sjuka 50
1281 erkänt 31
1282 brottet 10
1283 bestämde 56
1284 sovjetiska 4
1285 militärerna 40
1286 skjuta 24
1287 ned 28
1288 catalinan 2
1289 människorna 46
1290 blåser 2
1291 lika 85
1292 längre 63
1293 misstänker 15
1294 hämnd 4
1295 brottsling 5
1296 familjen 9
1297 väntat 12
1298 höra 7
1299 harald 5
1300 tvåhundra 16
1301 ganska 68
1302 enkel 2
1303 portugiserna 3
1304 tävlingar 34
1305 världscupen 55
1306 polisstationen 5
1307 syriens 6
1308 möte 37
1309 måndagen 71
1310 norra 29
1311 delen 23
1312 kurdiska 8
1313 områdena 11
1314 kenteris 5
1315 thanou 4
1316 oskyldiga 17
1317 dopningsmedlet 4
1318 nandrolon 4
1319 kroppen 20
1320 önskar 1
1321 läsare 2
1322 påskhelg 1
1323 resebolagen 3
1324 kontakt 13
1325 resenärer 6
1326 olycka 19
1327 medaljörer 2
1328 medaljer 47
1329 skamsna 1
1330 fuskare 4
1331 ändra 33
1332 kravaller 1
1333 demonstrationer 11
1334 förbjudits 1
1335 värdepapper 3
1336 kunnat 35
1337 alltså 32
1338 lo 11
1339 tingsrätten 30
1340 dömde 13
1341 åklagaren 36
1342 kvinnan 46
1343 kära 4
1344 hemlighet 8
1345 fri 30
1346 par 16
1347 röstade 72
1348 redbergslids 2
1349 äldre 23
1350 socialdemokraternas 11
